Index,Title,Rating,Votes,Runtimes,Budget,World_Gross,Country,Action,Adventure,Adult,Animation,Comedy,Crime,Documentary,Drama,Fantasy,Family,FilmNoir,Horror,Musical,Mystery,Romance,SciFi,Short,Thriller,War,Western
1341,True Romance,8,154156,120,"$13,000,000 ",,USA,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1342,Angels with Dirty Faces,8,15241,97,,,USA,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
1343,Mildred Pierce,8,15124,111,"$1,453,000 ",,USA,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0
1344,I'm Going to Tell You a Secret,8,1507,128,,,USA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1345,West Point,8,1506,,,,USA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1346,Black Narcissus,8,14959,100,,,UK,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1347,Hud,8,14733,112,"$2,500,000 ",,USA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1348,Postriziny,8,1460,93,,,Czechoslovakia,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1349,Brazil,8,144797,142,"$15,000,000 ",,UK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1350,Mr. Deeds Goes to Town,8,14445,115,,,USA,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1351,Terminus paradis,8,1428,99,,,France,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1352,Kano,8,1422,185,"$9,000,000 ",,Taiwan,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1353,Cinderella Man,8,141988,144,"$88,000,000 ","$108,539,911 (worldwide)",USA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1354,Ya shagayu po Moskve,8,1418,78,,,Soviet Union,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1355,Fail-Safe,8,14172,112,,,USA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1356,Geri's Game,8,14096,4,,,USA,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1357,Cet obscur objet du d?sir,8,13937,102,,,France,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1358,Agantuk,8,1386,,,,France,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1359,Desyat negrityat,8,1386,137,,,Soviet Union,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1360,Assa,8,1384,153,,,Soviet Union,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1361,Z?hrada,8,1384,99,,,Slovakia,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1362,"One, Two, Three",8,13839,115,"$3,000,000 ",,USA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1363,The Lady Eve,8,13782,94,,,USA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1364,Narayama bushik?,8,1378,98,,,Japan,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1365,The Sound of Music,8,137310,174,"$8,200,000 ","$286,214,286 (Worldwide)",USA,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0
1366,Ninotchka,8,13659,110,"$1,365,000 ","$2,279,000 (Worldwide)",USA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1367,Hadersfild,8,1350,95,,,Serbia,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1368,Crumb,8,13400,119,,,USA,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1369,Un borghese piccolo piccolo,8,1338,122,,,Italy,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1370,"Film d'amore e d'anarchia, ovvero 'stamattina alle 10 in via dei Fiori nella nota casa di tolleranza...'",8,1334,,,,Italy,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1371,Rosemary's Baby,8,132824,136,"$2,300,000 ",,USA,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
1372,L'ann?e derni?re ? Marienbad,8,13261,94,,,France,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1373,We Were Here,8,1305,90,,,USA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1374,Male and Female,8,1305,116,,,USA,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
